,name_,event,inner_seq,side,PC,class
0,131123,,0,left,8,normal
1,131123,,1,left,3,normal
2,131123,,2,left,6,normal
3,131123,,3,left,1,normal
4,131123,,4,left,0,normal
5,131123,,5,left,0,normal
6,131123,,6,left,0,normal
7,131123,,7,left,0,normal
8,131123,,8,left,0,normal
9,131123,,9,left,0,normal
10,131123,,10,left,0,normal
11,131123,,11,left,0,normal
12,131123,,12,left,0,normal
13,131123,,13,left,0,normal
14,131123,,14,left,0,normal
15,131123,,15,left,1,normal
16,131123,,16,left,3,normal
17,131123,,17,left,4,normal
18,131123,,18,left,0,normal
19,131123,,19,left,0,normal
20,131123,,20,left,0,normal
21,131123,,21,left,0,normal
22,131123,,22,left,0,normal
23,131123,,23,left,0,normal
24,131123,,24,left,0,normal
25,131123,,25,left,0,normal
26,131123,,26,left,0,normal
27,131123,,27,left,0,normal
28,131123,,28,left,0,normal
29,131123,,29,left,0,normal
30,131123,,30,left,4,normal
31,131123,,31,left,4,normal
32,131123,,32,left,8,normal
33,131123,,33,left,2,normal
34,131123,,34,left,0,normal
35,131123,,35,left,0,normal
36,131123,,36,left,4,normal
37,131123,,37,left,0,normal
38,131123,,38,left,0,normal
39,131123,,39,left,0,normal
40,131123,,40,left,0,normal
41,131123,,41,left,0,normal
42,131123,,42,left,0,normal
43,131123,,43,left,1,normal
44,131123,,44,left,4,normal
45,131123,,45,left,1,normal
46,131123,,46,left,12,normal
47,131123,,47,left,10,normal
48,131123,,48,left,6,normal
49,131123,,49,left,6,normal
50,131123,,50,left,8,normal
51,131123,,51,left,1,normal
52,131123,,52,left,2,normal
53,131123,,53,left,1,normal
54,131123,,54,left,8,normal
55,131123,,55,left,6,normal
56,131123,,56,left,3,normal
57,131123,,57,left,0,normal
58,131123,,58,left,0,normal
59,131123,,59,left,8,normal
60,131123,,60,left,2,normal
61,131123,,61,left,4,normal
62,131123,,62,left,7,normal
63,131123,,63,left,7,normal
64,131123,,64,left,0,normal
65,131123,,65,left,4,normal
66,131123,,66,left,3,normal
67,131123,,67,left,4,normal
68,131123,,68,left,9,normal
69,131123,,69,left,8,normal
70,131123,,70,left,7,normal
71,131123,,71,left,3,normal
72,131123,,72,left,0,normal
73,131123,,73,left,0,normal
74,131123,,74,left,0,normal
75,131123,,75,left,0,normal
76,131123,,76,left,2,normal
77,131123,,77,left,5,normal
78,131123,,78,left,2,normal
79,131123,,79,left,16,normal
80,131123,,80,left,11,normal
81,131123,,81,left,9,normal
82,131123,,82,left,7,normal
83,131123,,83,left,0,normal
84,131123,,84,left,0,normal
85,131123,,85,left,0,normal
0,131123_2,,0,left,0,normal
1,131123_2,,1,left,0,normal
2,131123_2,,2,left,0,normal
3,131123_2,,3,left,0,normal
4,131123_2,,4,left,0,normal
5,131123_2,,5,left,0,normal
6,131123_2,,6,left,0,normal
7,131123_2,,7,left,0,normal
8,131123_2,,8,left,0,normal
9,131123_2,,9,left,0,normal
10,131123_2,,10,left,0,normal
11,131123_2,,11,left,0,normal
12,131123_2,,12,left,0,normal
13,131123_2,,13,left,0,normal
14,131123_2,,14,left,0,normal
15,131123_2,,15,left,0,normal
16,131123_2,,16,left,0,normal
17,131123_2,,17,left,0,normal
18,131123_2,,18,left,0,normal
19,131123_2,,19,left,1,normal
20,131123_2,,20,left,2,normal
21,131123_2,,21,left,0,normal
22,131123_2,,22,left,0,normal
23,131123_2,,23,left,0,normal
24,131123_2,,24,left,0,normal
25,131123_2,,25,left,0,normal
26,131123_2,,26,left,0,normal
27,131123_2,,27,left,0,normal
28,131123_2,,28,left,0,normal
29,131123_2,,29,left,0,normal
30,131123_2,,30,left,0,normal
31,131123_2,,31,left,0,normal
32,131123_2,,32,left,0,normal
33,131123_2,,33,left,0,normal
34,131123_2,,34,left,0,normal
35,131123_2,,35,left,0,normal
36,131123_2,,36,left,0,normal
37,131123_2,,37,left,0,normal
38,131123_2,,38,left,0,normal
39,131123_2,,39,left,0,normal
40,131123_2,,40,left,0,normal
41,131123_2,,41,left,0,normal
42,131123_2,,42,left,0,normal
43,131123_2,,43,left,0,normal
44,131123_2,,44,left,0,normal
45,131123_2,,45,left,0,normal
46,131123_2,,46,left,0,normal
47,131123_2,,47,left,6,normal
48,131123_2,,48,left,6,normal
49,131123_2,,49,left,5,normal
50,131123_2,,50,left,11,normal
51,131123_2,,51,left,10,normal
52,131123_2,,52,left,8,normal
53,131123_2,,53,left,11,normal
54,131123_2,,54,left,0,normal
55,131123_2,,55,left,0,normal
56,131123_2,,56,left,0,normal
57,131123_2,,57,left,0,normal
58,131123_2,,58,left,0,normal
59,131123_2,,59,left,3,normal
60,131123_2,,60,left,0,normal
61,131123_2,,61,left,0,normal
62,131123_2,,62,left,0,normal
63,131123_2,,63,left,2,normal
64,131123_2,,64,left,1,normal
65,131123_2,,65,left,13,normal
66,131123_2,,66,left,7,normal
67,131123_2,,67,left,5,normal
68,131123_2,,68,left,0,normal
69,131123_2,,69,left,0,normal
70,131123_2,,70,left,0,normal
71,131123_2,,71,left,0,normal
72,131123_2,,72,left,0,normal
73,131123_2,,73,left,3,normal
74,131123_2,,74,left,2,normal
75,131123_2,,75,left,12,normal
76,131123_2,,76,left,10,normal
77,131123_2,,77,left,10,normal
78,131123_2,,78,left,11,normal
79,131123_2,,79,left,10,normal
80,131123_2,,80,left,2,normal
81,131123_2,,81,left,3,normal
82,131123_2,,82,left,10,normal
83,131123_2,,83,left,7,normal
84,131123_2,,84,left,0,normal
85,131123_2,,85,left,2,normal
86,131123_2,,86,left,0,normal
87,131123_2,,87,left,0,normal
88,131123_2,,88,left,0,normal
89,131123_2,,89,left,0,normal
90,131123_2,,90,left,0,normal
91,131123_2,,91,left,0,normal
92,131123_2,,92,left,7,normal
93,131123_2,,93,left,1,normal
94,131123_2,,94,left,0,normal
95,131123_2,,95,left,3,normal
0,1410,,0,left,2,normal
1,1410,,1,left,1,normal
2,1410,,2,left,0,normal
3,1410,,3,left,0,normal
4,1410,,4,left,1,normal
5,1410,,5,left,0,normal
6,1410,,6,left,1,normal
7,1410,,7,left,0,normal
8,1410,,8,left,2,normal
9,1410,,9,left,0,normal
10,1410,,10,left,1,normal
11,1410,,11,left,0,normal
12,1410,,12,left,0,normal
13,1410,,13,left,4,normal
14,1410,,14,left,0,normal
15,1410,,15,left,0,normal
16,1410,,16,left,1,normal
17,1410,,17,left,0,normal
18,1410,,18,left,0,normal
19,1410,,19,left,0,normal
20,1410,,20,left,0,normal
21,1410,,21,left,0,normal
22,1410,,22,left,0,normal
23,1410,,23,left,0,normal
24,1410,,24,left,0,normal
25,1410,,25,left,0,normal
26,1410,,26,left,0,normal
27,1410,,27,left,4,normal
28,1410,,28,left,7,normal
29,1410,,29,left,4,normal
30,1410,,30,left,8,normal
31,1410,,31,left,0,normal
32,1410,,32,left,0,normal
33,1410,,33,left,3,normal
34,1410,,34,left,0,normal
35,1410,,35,left,0,normal
36,1410,,36,left,0,normal
